time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837057.99933600,0.14142626,0.00340132,0.00001703,81027.00000000,0.09956194,0.000000,0.000000
1577837058.09998322,0.14136691,0.00432375,0.00001584,81036.00000000,0.09489947,0.000000,0.000000
1577837058.19983196,0.14129870,0.00362033,0.00001661,81039.00000000,0.08781532,0.000000,0.000000
1577837058.29967999,0.14125302,0.00488877,0.00001731,81083.00000000,0.10539775,0.000000,0.000000
1577837058.39953303,0.14121091,0.00572253,0.00001614,81114.00000000,0.10810984,0.000000,0.000000
1577837058.49937296,0.14117837,0.00481499,0.00001692,81229.00000000,0.11557557,0.000000,0.000000
1577837058.59962606,0.14116790,0.00511380,0.00001758,81280.00000000,0.13291415,0.000000,0.000000
1577837058.69946122,0.14113721,0.00458028,0.00001704,81430.00000000,0.11692562,0.000000,0.000000
1577837058.79930282,0.14110981,0.00508150,0.00001746,81488.00000000,0.11945862,0.000000,0.000000
1577837058.89995003,0.14107282,0.00494000,0.00001631,81521.00000000,0.11181922,0.000000,0.000000
1577837058.99980688,0.14104004,0.00453808,0.00001666,81500.00000000,0.11507425,0.000000,0.000000
1577837059.09964299,0.14100223,0.00556094,0.00001837,81534.00000000,0.11102310,0.000000,0.000000
1577837059.19948220,0.14096900,0.00509402,0.00001640,81569.00000000,0.11458327,0.000000,0.000000
1577837059.29933000,0.14094482,0.00547474,0.00001685,81623.00000000,0.12171718,0.000000,0.000000
1577837059.39995289,0.14091825,0.00592216,0.00001698,81623.00000000,0.11977460,0.000000,0.000000
1577837059.49979711,0.14089933,0.00582715,0.00001784,81686.00000000,0.12581896,0.000000,0.000000
1577837059.59962106,0.14086276,0.00504892,0.00001709,81728.00000000,0.11167585,0.000000,0.000000
1577837059.69946694,0.14081805,0.00481481,0.00001676,81765.00000000,0.10509336,0.000000,0.000000
1577837059.79930401,0.14080834,0.00778154,0.00002061,81847.00000000,0.13304207,0.000000,0.000000
1577837059.89995694,0.14078504,0.00569897,0.00001864,81875.00000000,0.12212113,0.000000,0.000000
1577837059.99980688,0.14074556,0.00560706,0.00001800,81960.00000000,0.10908505,0.000000,0.000000
1577837060.09964108,0.14070799,0.00605129,0.00001730,82061.00000000,0.11053922,0.000000,0.000000
1577837060.19948006,0.14068309,0.00650131,0.00001754,82166.00000000,0.12066570,0.000000,0.000000
1577837060.29933214,0.14065331,0.00779787,0.00001708,82244.00000000,0.11667831,0.000000,0.000000
1577837060.39998412,0.14062677,0.00567157,0.00001750,82331.00000000,0.11923553,0.000000,0.000000
1577837060.49981499,0.14061243,0.00604729,0.00001818,82428.00000000,0.12903989,0.000000,0.000000
1577837060.59965301,0.14059418,0.00660244,0.00001848,82567.00000000,0.12584421,0.000000,0.000000
1577837060.69949889,0.14057092,0.00585000,0.00001690,82673.00000000,0.12175351,0.000000,0.000000
1577837060.79933381,0.14054024,0.00607441,0.00001763,82818.00000000,0.11569600,0.000000,0.000000
1577837060.89959979,0.14051181,0.00586560,0.00001709,83064.00000000,0.11745209,0.000000,0.000000
1577837060.99944401,0.14048948,0.00752138,0.00001795,83239.00000000,0.12235564,0.000000,0.000000
1577837061.09928918,0.14046196,0.00748008,0.00001661,83486.00000000,0.11809302,0.000000,0.000000
1577837061.19992399,0.14043919,0.00708286,0.00001945,83670.00000000,0.12190141,0.000000,0.000000
1577837061.29974985,0.14040823,0.00567019,0.00001758,83867.00000000,0.11517467,0.000000,0.000000
1577837061.39959717,0.14036567,0.00522219,0.00001759,84033.00000000,0.10563885,0.000000,0.000000
1577837061.49943495,0.14034435,0.00669057,0.00001801,84179.00000000,0.12292272,0.000000,0.000000
1577837061.59967303,0.14031974,0.00577531,0.00001804,84240.00000000,0.12019327,0.000000,0.000000
1577837061.69951105,0.14030386,0.00598863,0.00001797,84439.00000000,0.12729296,0.000000,0.000000
1577837061.79936099,0.14029195,0.00562771,0.00001817,84458.00000000,0.13052964,0.000000,0.000000
1577837061.89960408,0.14025533,0.00775582,0.00001634,84554.00000000,0.11019193,0.000000,0.000000
1577837061.99944496,0.14023829,0.00762832,0.00001627,84882.00000000,0.12622660,0.000000,0.000000
1577837062.09967208,0.14023331,0.00719212,0.00001808,85343.00000000,0.13613914,0.000000,0.000000
1577837062.19950104,0.14023160,0.00707341,0.00001633,85617.00000000,0.13882270,0.000000,0.000000
1577837062.29934907,0.14024682,0.00846769,0.00001792,86091.00000000,0.15280331,0.000000,0.000000
1577837062.39998698,0.14026388,0.00796236,0.00001698,86448.00000000,0.15435260,0.000000,0.000000
